AMC CODE|AMC NAME|BSE SCHEME CODE|SCHEME NAME|SCHEME ISIN|SCHEME TYPE|ASTP TRANSACTION MODE|ASTP IN MINIMUM INSTALLMENT AMOUNT|ASTP IN MAXIMUM INSTALLMENT AMOUNT|ASTP IN MULTIPLIER AMOUNT|ASTP OUT MINIMUM INSTALLMENT AMOUNT|ASTP OUT MAXIMUM INSTALLMENT AMOUNT|ASTP OUT MULTIPLIER AMOUNT|ASTP MINIMUM INSTALLMENT UNITS|ASTP MAXIMUM INSTALLMENT UNITS|ASTP MULTIPLIER UNITS|ASTP MINIMUM INSTALLMENT NUMBERS|ASTP MAXIMUM INSTALLMENT NUMBERS|ASTP Reg IN|ASTP Reg OUT|ASTP FREQUENCY|ASTP DATES|ASTP MINIMUM GAP|ASTP MAXIMUM GAP|ASTP INSTALLMENT GAP|ASTP STATUS|
BARODAMUTUALFUND_MF|BARODA MUTUAL FUND|BPBMD3-DR|BARODA MONEY MARKET FUND DIRECT PLAN MONTHLY DIVIDEND REINVESTMENT|INF955L01IH1|DEBT|DP|1500.00|99999999999.00|1.00|1500.00|99999999999.00|1.00|9999999.00|9999999.00|1.00|4|9999|Y|Y|QUARTERLY|1,10,15,25|0|90|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|623QR-DR|BNP PARIBAS MEDIUM TERM FUND CALENDAR QUARTERLY DIVIDEND REINVESTMENT|INF251K01MA4|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|2|9999|Y|Y|QUARTERLY|1,7,15,25|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8003-DP|ICICI PRUDENTIAL LARGE & MID CAP FUND - DIRECT PLAN - DIVIDEND PAYOUT|INF109K010O7|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
BIRLASUNLIFEMUTUALFUND_MF|ADITYA BIRLA SUN LIFE MUTUAL FUND|251G|ADITYA BIRLA SUN LIFE MIDCAP FUND - GROWTH|INF209K01363|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|0.10|999999999.00|1.00|4|9999|Y|Y|QUARTERLY|1,7,10,15,20,28|0|90|1|1|
BARODAMUTUALFUND_MF|BARODA MUTUAL FUND|BPBMGP-GR|BARODA MONEY MARKET FUND REGULAR PLAN GROWTH GROWTH|INF955L01HY8|DEBT|DP|1000.00|99999999999.00|1.00|1000.00|99999999999.00|1.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|MONTHLY|1,10,15,25|0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|623QR-DR|BNP PARIBAS MEDIUM TERM FUND CALENDAR QUARTERLY DIVIDEND REINVESTMENT|INF251K01MA4|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|6|9999|Y|Y|MONTHLY|1,7,15,25|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8035-DP|ICICI PRUDENTIAL SMALLCAP FUND - DIRECT PLAN - DIVIDEND PAYOUT|INF109K014M3|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|GROWTH|ICICI PRUDENTIAL LARGE AND MID CAP FUND - GROWTH|INF109K01431|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
BARODAMUTUALFUND_MF|BARODA MUTUAL FUND|BPBMGP-GR|BARODA MONEY MARKET FUND REGULAR PLAN GROWTH GROWTH|INF955L01HY8|DEBT|DP|1500.00|99999999999.00|1.00|1500.00|99999999999.00|1.00|9999999.00|9999999.00|1.00|4|9999|Y|Y|QUARTERLY|1,10,15,25|0|90|1|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|CDODR-DP|HDFC CREDIT RISK DEBT FUND - REGULAR - QUARTERLY DIVIDEND OPTION PAYOUT|INF179KA1GD8|DEBT|DP|500.00|999999999.00|100.00|500.00|999999999.00|100.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|DAILY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC1839-DP|ICICI PRUDENTIAL BANKING AND PSU DEBT FUND - QUARTERLY DIVIDEND PAYOUT|INF109K01YD3|DEBT|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|DYNMIC|ICICI PRUDENTIAL MULTI-ASSET FUND - GROWTH|INF109K01761|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN62G-GR|BNP PARIBAS MULTI CAP FUND DIRECT GROWTH|INF251K01HK3|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|2|9999|Y|Y|QUARTERLY|1,7,15,25|0|90|1|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|HBPDR-DP|HDFC BANKING AND PSU DEBT FUND - REGULAR DIVIDEND PAYOUT OPTION|INF179KA1JD2|DEBT|DP|500.00|999999999.00|1.00|500.00|999999999.00|1.00|9999999.00|9999999.00|1.00|12|9999|Y|Y|WEEKLY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC3008-DP|ICICI PRUDENTIAL SENSEX INDEX FUND DIVIDEND PAYOUT|INF109KB19W3|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ESD-DP|ICICI PRUDENTIAL MIDCAP FUND - DIVIDEND PAYOUT|INF109K01AL6|EQUITY|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN630RG-GR|BNP PARIBAS FOCUSED 25 EQUITY FUND REGULAR GROWTH|INF251K01PK6|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|2|9999|Y|Y|QUARTERLY|1,7,15,25|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC8718-DR|ICICI PRUDENTIAL EQUITY & DEBT FUND - DIRECT PLAN - HALF YEARLY DIVIDEND REINVESTMENT|INF109KA1Y01|BALANCED|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|N|Y|WEEKLY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC3133-DR|ICICI PRUDENTIAL MNC FUND DIVIDEND REINVESTMENT|INF109KC1D77|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|FOCUS-RET|ICICI PRUDENTIAL BLUECHIP FUND - GROWTH|INF109K01BL4|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN65WD-DP|BNP PARIBAS LOW DURATION FUND DIRECT PLAN WEEKLY DIVIDEND PAYOUT|INF251K01GL3|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|2|9999|Y|Y|QUARTERLY|1,7,15,25|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC2518-DR|ICICI PRUDENTIAL EQUITY & DEBT FUND - HALF YEARLY DIVIDEND REINVESTMENT|INF109KA1X85|BALANCED|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|N|Y|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC3133-DR|ICICI PRUDENTIAL MNC FUND DIVIDEND REINVESTMENT|INF109KC1D77|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|BAFIN|ICICI PRUDENTIAL BANKING AND FINANCIAL SERVICES FUND - GROWTH|INF109K01BU5|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN68QD-DP|BNP PARIBAS SHORT TERM FUND DIRECT PLAN QUARTERLY DIVIDEND PAYOUT|INF251K01GH1|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|6|9999|Y|Y|MONTHLY|1,7,15,25|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC2519-DR|ICICI PRUDENTIAL BALANCED ADVANTAGE FUND - QUARTERLY DIVIDEND REINVESTMENT|INF109KA1Y27|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|N|Y|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC3132-DR|ICICI PRUDENTIAL PHARMA HEALTHCARE AND DIAGNOSTICS (P.H.D) FUND DIVIDEND REINVESTMENT|INF109KC1GG4|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
BIRLASUNLIFEMUTUALFUND_MF|ADITYA BIRLA SUN LIFE MUTUAL FUND|B201D-DP|ADITYA BIRLA SUN LIFE EQUITY ADVANTAGE FUND - DIVIDEND PAYOUT-REGULAR PLAN|INF209K01157|EQUITY|DP|500.00|999999999.00|1.00|500.00|999999999.00|1.00|999999999.00|999999999.00|999999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN71D-DR|BNP PARIBAS MID CAP FUND - DIRECT PLAN - DIVIDEND REINVESTMENT OPTION|INF251K01HP2|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|6|9999|Y|Y|MONTHLY|1,7,15,25|0|60|1|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|KO208MD-DR|KOTAK CORPORATE BOND FUND STANDARD MONTHLY DIVIDEND REINVESTMENT|INF178L01BP8|DEBT|DP|1000.00|99999999.00|1.00|1000.00|99999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC2718P-DP|ICICI PRUDENTIAL NIFTY INDEX FUND - DIVIDEND PAYOUT|INF109KB1NN7|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
BIRLASUNLIFEMUTUALFUND_MF|ADITYA BIRLA SUN LIFE MUTUAL FUND|B205RD-DP|ADITYA BIRLA SUN LIFE ARBITRAGE FUND - DIVIDEND PAYOUT|INF209K01256|EQUITY|DP|500.00|999999999.00|1.00|500.00|999999999.00|1.00|999999999.00|999999999.00|999999999.00|6|9999|Y|Y|MONTHLY|1,7,10,15,20,28|0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN631RD-DP|BNP PARIBAS INDIA CONSUMPTION FUND REGULAR DIVIDEND PAYOUT|INF251K01PS9|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|20|9999|Y|N|DAILY||0|60|1|1|
UTIMUTUALFUND_MF|UTI MUTUAL FUND|UTMZMDR-DR|UTI MEDIUM TERM FUND - MONTHLY DIVIDEND PLAN - REINVESTMENT|INF789FB1KP2|DEBT|DP|1000.00|999999.00|1.00|1000.00|999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC1973P-DP|ICICI PRUDENTIAL MONEY MARKET FUND - DIVIDEND PAYOUT OTHERS|INF109K01I72|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
BIRLASUNLIFEMUTUALFUND_MF|ADITYA BIRLA SUN LIFE MUTUAL FUND|B221D-DP|ADITYA BIRLA SUN LIFE MNC FUND-DIVIDEND-DIVIDEND PAYOUT|INF209K01314|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|0.10|999999999.00|1.00|4|9999|Y|Y|QUARTERLY|1,7,10,15,20,28|0|90|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN631RD-DR|BNP PARIBAS INDIA CONSUMPTION FUND REGULAR DIVIDEND REINVESTMENT|INF251K01PR1|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|20|9999|Y|N|DAILY||0|60|1|1|
UTIMUTUALFUND_MF|UTI MUTUAL FUND|UTMZQDR-DR|UTI MEDIUM TERM FUND - QUARTERLY DIVIDEND PLAN - REINVESTMENT|INF789FB1JX8|DEBT|DP|1000.00|999999.00|1.00|1000.00|999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8179-DP|ICICI PRUDENTIAL BALANCED ADVANTAGE FUND - DIRECT PLAN - DIVIDEND PAYOUT|INF109K011B2|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
BIRLASUNLIFEMUTUALFUND_MF|ADITYA BIRLA SUN LIFE MUTUAL FUND|B313MD-DP|ADITYA BIRLA SUN LIFE REGULAR SAVINGS FUND-MONTHLY DIVIDEND-DIVIDEND PAYOUT|INF209K01769|DEBT|DP|500.00|999999999.00|1.00|500.00|999999999.00|1.00|999999999.00|999999999.00|999999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN632DA-DR|BNP PARIBAS DYNAMIC EQUITY FUND DIRECT ANNUAL DIVIDEND REINVESTMENT|INF251K01QI8|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|2|9999|Y|Y|QUARTERLY|1,7,15,25|0|90|1|1|
BIRLASUNLIFEMUTUALFUND_MF|ADITYA BIRLA SUN LIFE MUTUAL FUND|BL380B-GR|ADITYA BIRLA SUN LIFE CREDIT RISK FUND - GROWTH REGULAR|INF209KA1K47|DEBT|DP|500.00|999999999.00|1.00|500.00|999999999.00|1.00|999999999.00|999999999.00|999999999.00|6|9999|Y|Y|MONTHLY|1,7,10,15,20,28|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|8186-DP|ICICI PRUDENTIAL REGULAR SAVINGS FUND - DIRECT PLAN - HALF YEARLY DIVIDEND PAYOUT|INF109K01S54|MIP|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|GFD-DP|HDFC BALANCE ADVANTAGE FUND - REGULAR PLAN - DIVIDEND PAYOUT|INF179K01814|EQUITY|DP|500.00|999999999.00|100.00|500.00|999999999.00|100.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|DAILY||0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN632DQ-DR|BNP PARIBAS DYNAMIC EQUITY FUND DIRECT QUARTERLY DIVIDEND REINVESTMENT|INF251K01QG2|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|20|9999|Y|N|DAILY||0|60|1|1|
BIRLASUNLIFEMUTUALFUND_MF|ADITYA BIRLA SUN LIFE MUTUAL FUND|BS303GZ-GR|ADITYA BIRLA SUN LIFE MEDIUM TERM PLAN - GROWTH-DIRECT PLAN|INF209K01XA9|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|0.10|999999999.00|1.00|4|9999|Y|Y|QUARTERLY|1,7,10,15,20,28|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC9393-DR|ICICI PRUDENTIAL MANUFACTURE IN INDIA FUND DIRECT PLAN DIVIDEND REINVESTMENT|INF109KC1LK6|EQUITY|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|28-DP|HDFC DYNAMIC DEBT FUND - REGULAR PLAN - YEARLY DIVIDEND PAYOUT|INF179K01921|DEBT|DP|500.00|999999999.00|1.00|500.00|999999999.00|1.00|9999999.00|9999999.00|1.00|12|9999|Y|Y|WEEKLY||0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN632RA-DP|BNP PARIBAS DYNAMIC EQUITY FUND REGULAR ANNUAL DIVIDEND PAYOUT|INF251K01QC1|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|6|9999|Y|Y|MONTHLY|1,7,15,25|0|60|1|1|
UTIMUTUALFUND_MF|UTI MUTUAL FUND|UTSFDPD-DP|UTI ARBITRAGE FUND - DIVIDEND PLAN - DIVIDEND PAYOUT|INF789FB1RH4|EQUITY|DP|1000.00|999999.00|1.00|1000.00|999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC9418-DR|ICICI PRUDENTIAL ULTRA SHORT TERM FUND - DIRECT PLAN - WEEKLY DIVIDEND REINVESTMENT|INF109KC1MZ2|DEBT|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|IFG-HDFC-DP|HDFC INCOME FUND - GROWTH OPTION|INF179K01962|DEBT|DP|1000.00|999999999.00|100.00|1000.00|999999999.00|100.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|MONTHLY|1,5,10,15,20,25|0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN628DD-DR|BNP PARIBAS ARBITRAGE FUND DIRECT ADHOC DIVIDEND REINVESTMENT|INF251K01OU8|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|20|9999|Y|N|DAILY||0|60|1|1|
UTIMUTUALFUND_MF|UTI MUTUAL FUND|UTSFDPR-DR|UTI ARBITRAGE FUND - DIVIDEND PLAN - DIVIDEND REINVESTMENT|INF789FB1RI2|EQUITY|DP|3000.00|999999.00|1.00|3000.00|999999.00|1.00|999999.00|999999.00|999999.00|2|9999|Y|Y|QUARTERLY|1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC9425-GR|ICICI PRUDENTIAL OVERNIGHT FUND DIRECT PLAN GROWTH|INF109KC1OO2|OVERNIGHT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|MYD05-DP|HDFC MULTI-ASSET FUND - REGULAR PLAN -DIVIDEND PAYOUT|INF179K01AN5|DEBT|DP|500.00|999999999.00|1.00|500.00|999999999.00|1.00|9999999.00|9999999.00|1.00|12|9999|Y|Y|WEEKLY||0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN628DG-GR|BNP PARIBAS ARBITRAGE FUND DIRECT GROWTH|INF251K01OT0|EQUITY|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|6|9999|Y|Y|MONTHLY|1,7,15,25|0|60|1|1|
SUNDARAMMUTUALFUND_MF|SUNDARAM MUTUAL FUND|SU23HD-DP|SUNDARAM SHORT TERM CREDIT RISK FUND REGULAR HALF YRLY DIV|INF903J016P2|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|5|9999|Y|Y|MONTHLY|1,7,14,20,25|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC9426-DR|ICICI PRUDENTIAL OVERNIGHT FUND DIRECT PLAN DAILY DIVIDEND REINVESTMENT|INF109KC1OP9|OVERNIGHT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|MYD05-DP|HDFC MULTI-ASSET FUND - REGULAR PLAN -DIVIDEND PAYOUT|INF179K01AN5|DEBT|DP|1000.00|999999999.00|100.00|1000.00|999999999.00|100.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|MONTHLY|1,5,10,15,20,25|0|60|1|1|
BNPPARIBAS_MF|BNP PARIBAS MUTUAL FUND|BN68MD-DP|BNP PARIBAS SHORT TERM FUND DIRECT PLAN MONTHLY DIVIDEND PAYOUT|INF251K01GF5|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|99999999.00|99999999.00|99999999.00|20|9999|N|Y|DAILY||0|60|1|1|
SUNDARAMMUTUALFUND_MF|SUNDARAM MUTUAL FUND|SU23HD-DP|SUNDARAM SHORT TERM CREDIT RISK FUND REGULAR HALF YRLY DIV|INF903J016P2|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|5|9999|Y|Y|WEEKLY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC9427-DP|ICICI PRUDENTIAL OVERNIGHT FUND DIRECT PLAN WEEKLY DIVIDEND PAYOUT|INF109KC1OT1|OVERNIGHT|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|MYG05|HDFC MULTI-ASSET FUND - REGULAR PLAN - GROWTH|INF179K01AP0|DEBT|DP|1000.00|999999999.00|100.00|1000.00|999999999.00|100.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|MONTHLY|1,5,10,15,20,25|0|60|1|1|
BARODAMUTUALFUND_MF|BARODA MUTUAL FUND|BPOFIG-GR|BARODA OVERNIGHT FUND REGULAR PLAN GROWTH|INF955L01HS0|OVERNIGHT|DP|1000.00|99999999999.00|1.00|1000.00|99999999999.00|1.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|MONTHLY|1,10,15,25|0|60|1|1|
SUNDARAMMUTUALFUND_MF|SUNDARAM MUTUAL FUND|SU23MD-DP|SUNDARAM INCOME PLUS-REGULAR PLAN-MONTHLY DIVIDEND PAYOUT|INF903J014P7|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|5|9999|Y|Y|MONTHLY|1,7,14,20,25|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC9428-DR|ICICI PRUDENTIAL OVERNIGHT FUND DIRECT PLAN FORTNIGHTLY DIVIDEND REINVESTMENT|INF109KC1OU9|OVERNIGHT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
HDFCMUTUALFUND_MF|HDFC MUTUAL FUND|PREG|HDFC HYBRID EQUITY FUND - REGULAR PLAN - GROWTH|INF179K01AS4|EQUITY|DP|1000.00|999999999.00|100.00|1000.00|999999999.00|100.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|MONTHLY|1,5,10,15,20,25|0|60|1|1|
